SKU,Retail Price,Total Retail Value,Title,Quantity,Cost per Item,Total Cost,Validity Status,URL
1005945399,$174.90,$174.90,"GE 5,000 BTU 115V Window Air Conditioner Cools 150 Sq. Ft. in White",1,$19.00,$19.00,Valid,https://www.homedepot.com/s/1005945399
1010608762,$279.00,$279.00,"GE 8,000 BTU 115-Volt Smart Window Air Conditioner for 350 Sq. Ft. in White with Wi-Fi and Remote",1,$29.18,$29.18,Valid,https://www.homedepot.com/s/1010608762
1010608755,$159.00,$159.00,"GE 5,000 BTU 115-Volt Window Air Conditioner for 150 sq. ft. Rooms in White",1,$18.85,$18.85,Valid,https://www.homedepot.com/s/1010608755
1007531646,$440.00,$440.00,"GE Profile ClearView Ultra Quiet 8,300 BTU 115V Window Air Conditioner Cools 350 Sq. Ft. Quiet in White",1,$64.14,$64.14,Valid,https://www.homedepot.com/s/1007531646
1010608760,$219.00,$219.00,"GE 6,000 BTU 115-Volt Window Air Conditioner for 250 sq. ft. Rooms in White with Remote",1,$22.50,$22.50,Valid,https://www.homedepot.com/s/1010608760
1003518804,$37.99,$37.99,"Lasko 16 in. 3 Speed Oscillating Pedestal Fan with Adjustable Height, Easy Assembly, and Quiet Cooling for Any Room in Black",1,$3.80,$3.80,Valid,https://www.homedepot.com/s/1003518804
1005926635,$529.00,$529.00,"GE 14,000 BTU 115V Window Air Conditioner Cools 700 Sq. Ft. with SMART technology, ENERGY STAR and Remote in White",1,$52.74,$52.74,Valid,https://www.homedepot.com/s/1005926635
1010608762,$279.00,$279.00,"GE 8,000 BTU 115-Volt Smart Window Air Conditioner for 350 Sq. Ft. in White with Wi-Fi and Remote",1,$29.18,$29.18,Valid,https://www.homedepot.com/s/1010608762
1005290013,$59.99,$59.99,"Lasko 1500W 22 in. Black Electric Tower Oscillating Ceramic Space Heater with Digital Display, Timer and Remote Control",1,$6.54,$6.54,Valid,https://www.homedepot.com/s/1005290013
1003881837,$104.56,$104.56,"Heat Storm 1,500-Watt Wi-Fi Smart Heater Deluxe Indoor Wall Mount Infrared Heater",1,$16.87,$16.87,Valid,https://www.homedepot.com/s/1003881837
1003881781,$72.71,$72.71,"Heat Storm 1,000-Watt Electric Deluxe Wall Unit Infrared Panel Convection/Radiant W-Fi Space Heater",1,$15.35,$15.35,Valid,https://www.homedepot.com/s/1003881781
1003106988,$215.74,$215.74,"Mr. Heater 20,000 BTU Vent Free Blue Flame Natural Gas Indoor Space Heater",1,$25.54,$25.54,Valid,https://www.homedepot.com/s/1003106988
1008471067,$66.32,$66.32,Lasko 1500-Watt 23 in. Electric Oscillating Ceramic Tower Space Heater with Timer and Remote Control,1,$7.90,$7.90,Valid,https://www.homedepot.com/s/1008471067
1007676514,$59.97,$59.97,Pelonis 1500-Watt 23 in. Digital Tower Indoor Ceramic Heater Quiet Operation w/ Safety Overheat Protection and Fan Mode in Black,1,$3.80,$3.80,Valid,https://www.homedepot.com/s/1007676514
1007676514,$59.97,$59.97,Pelonis 1500-Watt 23 in. Digital Tower Indoor Ceramic Heater Quiet Operation w/ Safety Overheat Protection and Fan Mode in Black,1,$3.80,$3.80,Valid,https://www.homedepot.com/s/1007676514
1009500879,$139.00,$139.00,"Heat Storm Tradesman 1500-Watt Electric Outdoor Infrared Quartz Portable Space Heater with Tripod, Wall and Ceiling Mount",1,$18.85,$18.85,Valid,https://www.homedepot.com/s/1009500879
1006060474,$42.28,$42.28,Lasko 1500-Watt 7.65 in. Electric Bathroom Ceramic Space Heater with Fan and ALCI Safety Plug,1,$4.86,$4.86,Valid,https://www.homedepot.com/s/1006060474
1003881781,$72.71,$72.71,"Heat Storm 1,000-Watt Electric Deluxe Wall Unit Infrared Panel Convection/Radiant W-Fi Space Heater",1,$15.35,$15.35,Valid,https://www.homedepot.com/s/1003881781
1011528242,$59.97,$59.97,Vissani 1.5 Gal. Ultrasonic Humidifier 360 Degree Turning Dual Nozzle Cool Mist for Medium Room in White,1,$4.41,$4.41,Valid,https://www.homedepot.com/s/1011528242
1000502817,$56.99,$56.99,"Lasko Designer Series 1500W 16 in. Beige Electric Tower Ceramic Space Heater with Timer, Thermostat, and Remote Control",1,$8.97,$8.97,Valid,https://www.homedepot.com/s/1000502817
1012659594,$106.40,$106.40,"Unbranded HeatFast 200,000 BTU LP Gas Convection Space Heater",1,$13.22,$13.22,Valid,https://www.homedepot.com/s/1012659594
1010530003,$55.47,$55.47,VISIONAIR 23 in. 1500-Watt/900-Watt Electric Oscillating Digital Ceramic Tower Heater,1,$7.30,$7.30,Valid,https://www.homedepot.com/s/1010530003
1003143002,Price not found,N/A,Title not found,1,$30.10,$30.10,Invalid,https://www.homedepot.com/s/1003143002
1008471067,$66.32,$66.32,Lasko 1500-Watt 23 in. Electric Oscillating Ceramic Tower Space Heater with Timer and Remote Control,1,$7.90,$7.90,Valid,https://www.homedepot.com/s/1008471067
1011696098,$139.99,$139.99,"Heat Storm Tradesman 1500W Gray Electric Indoor/Outdoor Infrared Quartz Portable Space Heater w/ Tripod, Wall and Ceiling Mount",1,$13.98,$13.98,Valid,https://www.homedepot.com/s/1011696098
1003881837,$104.56,$104.56,"Heat Storm 1,500-Watt Wi-Fi Smart Heater Deluxe Indoor Wall Mount Infrared Heater",1,$16.87,$16.87,Valid,https://www.homedepot.com/s/1003881837
Rows per page:,$6.97,$6.97,Miracle-Gro 8 qt. Perlite Soil,1,$0.00,$0.00,Invalid,https://www.homedepot.com/s/Rows per page:
1-95 of 95,$5.67,$5.67,3M 8511 N95 Sanding and Fiberglass Disposable Respirator with Cool Flow Valve (1-Pack),1,$0.00,$0.00,Invalid,https://www.homedepot.com/s/1-95 of 95
